released_year,certificate,runtime,genre,imdb_rating,meta_score,director,star1,star2,star3,star4,no_of_votes,gross,gross_per_vote
1969,3,145,"['action', 'adventure', 'western']",7.9,97.0,1,2,2,1,1,77401,12064472.0,155.86971744551104
1968,-1,96,"['horror', 'thriller']",7.9,89.0,2,1,1,1,1,116557,89029.0,0.7638237085717717
1968,1,134,"['biography', 'drama', 'history']",7.9,79.0,1,2,2,1,2,29003,22276975.0,768.0920939213185
1967,0,110,"['crime', 'drama', 'mystery']",7.9,75.0,2,1,1,2,1,67804,24379978.0,359.565482862368
1963,0,113,"['comedy', 'mystery', 'romance']",7.9,83.0,2,3,2,1,1,68689,13474588.0,196.16806184396336
1962,2,126,"['drama', 'thriller']",7.9,94.0,1,1,1,2,1,71122,23457439.5,329.8197393211664
1960,3,197,"['adventure', 'biography', 'drama']",7.9,87.0,3,2,1,1,1,124339,30000000.0,241.2758667835514
1960,0,144,"['drama', 'mystery']",7.9,79.0,2,1,1,1,1,26542,23457439.5,883.7856793007309
1959,-1,90,"['drama', 'romance']",7.9,79.0,1,1,1,1,1,28421,88300.0,3.1068576052918617
1956,0,220,"['adventure', 'drama']",7.9,79.0,1,2,1,1,1,63560,93740000.0,1474.826935179358
1956,0,119,"['adventure', 'drama', 'western']",7.9,94.0,2,2,1,2,2,80316,23457439.5,292.0643396085462
1955,0,118,['drama'],7.9,72.0,2,2,1,1,1,40313,23457439.5,581.8827549425744
1952,1,85,"['drama', 'thriller', 'western']",7.9,89.0,2,1,2,1,1,97222,9450000.0,97.20022217193639
1951,3,101,"['crime', 'film-noir', 'thriller']",7.9,88.0,3,1,1,1,1,123341,7630000.0,61.86101945014229
1950,0,104,"['comedy', 'drama', 'fantasy']",7.9,79.0,1,3,1,1,1,52573,23457439.5,446.18795769691667
1947,-1,96,"['comedy', 'drama', 'family']",7.9,88.0,1,1,2,1,2,41625,2650000.0,63.66366366366366
1946,0,102,"['drama', 'film-noir', 'romance']",7.9,100.0,3,3,2,2,1,92306,10464000.0,113.36207830476891
1946,0,114,"['crime', 'film-noir', 'mystery']",7.9,79.0,3,3,2,1,1,78796,6540000.0,82.99913701203107
1945,0,101,"['drama', 'film-noir']",7.9,79.0,3,2,1,1,1,33549,9460000.0,281.9756177531372
1940,-1,112,"['comedy', 'romance']",7.9,96.0,2,3,2,1,1,63550,23457439.5,369.11785208497247
1940,0,92,"['comedy', 'drama', 'romance']",7.9,79.0,3,3,1,1,2,53667,296000.0,5.5154936925857605
1938,1,102,"['action', 'adventure', 'romance']",7.9,97.0,2,1,1,1,1,47175,3981000.0,84.3879173290938
1935,0,96,"['comedy', 'music', 'musical']",7.9,79.0,1,1,1,2,1,30580,2537520.0,82.97972531066057
1933,0,100,"['adventure', 'horror', 'sci-fi']",7.9,90.0,1,1,1,1,1,78991,10000000.0,126.59670088997481
1932,-1,64,"['drama', 'horror']",7.9,80.0,1,1,1,1,1,42117,23457439.5,556.9589358216397
1922,-1,94,"['fantasy', 'horror']",7.9,79.0,2,1,1,1,1,88794,23457439.5,264.1782046084195
2019,3,113,"['action', 'comedy', 'crime']",7.8,51.0,2,2,1,1,2,237392,23457439.5,98.81310027296624
2018,1,138,"['action', 'drama', 'thriller']",7.8,79.0,2,1,1,1,1,25344,23457439.5,925.5618489583334
2019,3,120,"['drama', 'music']",7.8,81.0,1,1,1,1,1,27187,23457439.5,862.8182403354544
2016,1,124,['drama'],7.8,85.0,2,1,1,1,1,51240,2402067.0,46.87874707259953
2017,1,106,"['action', 'drama', 'history']",7.8,94.0,3,1,1,1,1,555092,188373161.0,339.35484748474124
2016,-1,96,"['comedy', 'drama']",7.8,79.0,1,1,1,1,1,57168,23457439.5,410.3246484047019
2016,1,127,"['biography', 'drama', 'history']",7.8,74.0,1,1,1,1,1,200876,169607287.0,844.3382335371075
2017,0,103,"['adventure', 'comedy', 'family']",7.8,88.0,1,1,1,1,1,61594,40442052.0,656.5907718284249
2016,3,148,"['action', 'crime', 'drama']",7.8,79.0,1,2,1,1,1,27175,23457439.5,863.1992456301748
2016,1,101,"['animation', 'action', 'adventure']",7.8,84.0,1,1,1,2,1,118035,48023088.0,406.85464480874316
2016,0,184,"['biography', 'drama', 'sport']",7.8,79.0,2,2,1,1,1,40416,1782795.0,44.11111935866983
