released_year,certificate,runtime,genre,imdb_rating,meta_score,director,star1,star2,star3,star4,no_of_votes,gross,gross_per_vote
1959,all_ages,141,"['action', 'drama', 'western']",8.0,93.0,multiple_movies,few_movies,one_movie,one_movie,one_movie,56305,12535000.0,222.62676494094663
1959,unrated,161,"['crime', 'drama', 'mystery']",8.0,95.0,few_movies,multiple_movies,one_movie,one_movie,one_movie,59847,11900000.0,198.84037629288017
1958,teens,95,"['crime', 'drama', 'film-noir']",8.0,99.0,few_movies,few_movies,one_movie,few_movies,few_movies,98431,2237659.0,22.733275086100925
1958,adults,108,['drama'],8.0,84.0,one_movie,few_movies,one_movie,one_movie,few_movies,45062,17570324.0,389.91442900892105
1957,all_ages,96,"['drama', 'film-noir']",8.0,100.0,few_movies,few_movies,few_movies,one_movie,one_movie,28137,23457439.5,833.6865870561894
1956,all_ages,84,"['crime', 'drama', 'film-noir']",8.0,91.0,multiple_movies,one_movie,one_movie,one_movie,one_movie,81702,23457439.5,287.10973415583464
1955,unrated,92,"['crime', 'drama', 'film-noir']",8.0,99.0,one_movie,few_movies,one_movie,one_movie,one_movie,81980,654000.0,7.977555501341791
1954,unrated,108,['drama'],8.0,79.0,few_movies,few_movies,one_movie,one_movie,one_movie,58314,23457439.5,402.26085502623727
1955,unrated,117,"['crime', 'drama', 'horror']",8.0,79.0,few_movies,one_movie,one_movie,one_movie,one_movie,61503,23457439.5,381.40317545485584
1953,unrated,120,"['comedy', 'drama', 'war']",8.0,84.0,multiple_movies,few_movies,one_movie,one_movie,one_movie,51046,23457439.5,459.535311287858
1953,unrated,118,"['comedy', 'romance']",8.0,78.0,few_movies,few_movies,few_movies,one_movie,one_movie,127256,23457439.5,184.33267979505877
1951,adults,122,['drama'],8.0,97.0,few_movies,one_movie,few_movies,few_movies,one_movie,99182,8000000.0,80.6597971406102
1950,unrated,94,"['drama', 'film-noir', 'mystery']",8.0,79.0,few_movies,multiple_movies,one_movie,one_movie,one_movie,26784,23457439.5,875.8004592293906
1949,all_ages,106,"['comedy', 'crime']",8.0,79.0,one_movie,one_movie,few_movies,one_movie,one_movie,34485,23457439.5,680.2215311004785
1948,adults,80,"['crime', 'drama', 'mystery']",8.0,73.0,multiple_movies,multiple_movies,one_movie,one_movie,one_movie,129783,23457439.5,180.7435449943367
1947,unrated,97,"['crime', 'drama', 'film-noir']",8.0,79.0,one_movie,few_movies,one_movie,one_movie,one_movie,32784,23457439.5,715.5148700585652
